Name,Latitude,Longitude,Ocean,poly_pos
Torres Strait,-10.9833,142.12601,260002040,1
Torres Strait,-9.12917,141.017,260002040,2
Torres Strait,-9.1,142.8,260002040,3
Torres Strait,-9.37917,142.8,260002040,4
Torres Strait,-10.3139,142.683,260002040,5
Torres Strait,-10.6889,142.52901,260002040,6
Torres Strait,-11,142.329,260002040,7
Torres Strait,-10.9833,142.12601,260002040,8
Tasman Sea,-30,150,260002039,1
Tasman Sea,-30,159.10001,260002039,2
Tasman Sea,-29.0333,167.95,260002039,3
Tasman Sea,-34.4236,172.681,260002039,4
Tasman Sea,-39.2424,176.478,260002039,5
Tasman Sea,-41.6125,175.29201,260002039,6
Tasman Sea,-41.7333,174.27499,260002039,7
Tasman Sea,-46.6528,168.408,260002039,8
Tasman Sea,-48.0083,166.567,260002039,9
Tasman Sea,-53,162,260002039,10
Tasman Sea,-43.6417,146.825,260002039,11
Tasman Sea,-40.9917,148.34399,260002039,12
Tasman Sea,-40.4375,148.483,260002039,13
Tasman Sea,-40.2917,148.33299,260002039,14
Tasman Sea,-40.2042,148.33299,260002039,15
Tasman Sea,-39.7833,148.007,260002039,16
Tasman Sea,-39.65,148.007,260002039,17
Tasman Sea,-37.5042,149.978,260002039,18
Tasman Sea,-30,150,260002039,19
Solomon Sea,-4.20833,152.67799,260002038,1
Solomon Sea,-4.85,152.883,260002038,2
Solomon Sea,-5.01111,154.617,260002038,3
Solomon Sea,-5.419,154.60899,260002038,4
Solomon Sea,-6.71,155.885,260002038,5
Solomon Sea,-6.645,156.448,260002038,6
Solomon Sea,-7.332,157.27,260002038,7
Solomon Sea,-7.354,158.13499,260002038,8
Solomon Sea,-8.34,159.823,260002038,9
Solomon Sea,-8.404,160.7,260002038,10
Solomon Sea,-9.729,161.50999,260002038,11
Solomon Sea,-10.219,161.31599,260002038,12
Solomon Sea,-10.8417,162.379,260002038,13
Solomon Sea,-11.9,160.55,260002038,14
Solomon Sea,-11.65,153.983,260002038,15
Solomon Sea,-11.2667,152.13699,260002038,16
Solomon Sea,-11.1,151.133,260002038,17
Solomon Sea,-10.9028,150.744,260002038,18
Solomon Sea,-10.6333,150.571,260002038,19
Solomon Sea,-9,148,260002038,20
Solomon Sea,-6.05833,145,260002038,21
Solomon Sea,-6.05833,147.571,260002038,22
Solomon Sea,-5.82917,148,260002038,23
Solomon Sea,-5.64583,148.088,260002038,24
Solomon Sea,-5.65833,148.308,260002038,25
Solomon Sea,-5.65,151,260002038,26
Solomon Sea,-5,151.75,260002038,27
Solomon Sea,-4.32222,152.40401,260002038,28
Solomon Sea,-4.20833,152.67799,260002038,29
"Ross Sea, western part",-70,-179.99899,260002037,1
"Ross Sea, western part",-70,-175,260002037,2
"Ross Sea, western part",-70,-170,260002037,3
"Ross Sea, western part",-70,-165,260002037,4
"Ross Sea, western part",-70,-160,260002037,5
"Ross Sea, western part",-70,-155,260002037,6
"Ross Sea, western part",-70,-150,260002037,7
"Ross Sea, western part",-70,-144,260002037,8
"Ross Sea, western part",-74.91854,-144,260002037,9
"Ross Sea, western part",-78.92099,-161.08415,260002037,10
"Ross Sea, western part",-78.43382,-179.99899,260002037,11
"Ross Sea, western part",-70,-179.99899,260002037,12
"Ross Sea, eastern part",-78.43382,179.99899,260002036,1
"Ross Sea, eastern part",-78.70784,158.36353,260002036,2
"Ross Sea, eastern part",-70,160.66701,260002036,3
"Ross Sea, eastern part",-70,165,260002036,4
"Ross Sea, eastern part",-70,170,260002036,5
"Ross Sea, eastern part",-70,175,260002036,6
"Ross Sea, eastern part",-70,179.99899,260002036,7
"Ross Sea, eastern part",-78.43382,179.99899,260002036,8
Coral Sea,-10.6333,150.571,260002035,1
Coral Sea,-10.9028,150.744,260002035,2
Coral Sea,-11.1,151.133,260002035,3
Coral Sea,-11.2667,152.13699,260002035,4
Coral Sea,-11.65,153.983,260002035,5
Coral Sea,-11.9,160.55,260002035,6
Coral Sea,-10.8417,162.379,260002035,7
Coral Sea,-10.0389,165.71699,260002035,8
Coral Sea,-9.75833,167.062,260002035,9
Coral Sea,-9.92917,167.246,260002035,10
Coral Sea,-14.4417,168.071,260002035,11
Coral Sea,-19.5167,170.229,260002035,12
Coral Sea,-20.2,169.892,260002035,13
Coral Sea,-22.7597,167.567,260002035,14
Coral Sea,-29.0333,167.95,260002035,15
Coral Sea,-30,159.10001,260002035,16
Coral Sea,-30,150,260002035,17
Coral Sea,-18,144,260002035,18
Coral Sea,-11,142.329,260002035,19
Coral Sea,-10.6889,142.52901,260002035,20
Coral Sea,-10.3139,142.683,260002035,21
Coral Sea,-9.37917,142.8,260002035,22
Coral Sea,-9.1,142.8,260002035,23
Coral Sea,-8,141.5,260002035,24
Coral Sea,-6.05833,145,260002035,25
Coral Sea,-9,148,260002035,26
Coral Sea,-10.6333,150.571,260002035,27
Bismarck Sea,-2.96667,141.996,260002034,1
Bismarck Sea,-1.71667,142.83299,260002034,2
Bismarck Sea,-1.45,143.067,260002034,3
Bismarck Sea,-1.31667,143.592,260002034,4
Bismarck Sea,-1.08333,144.408,260002034,5
Bismarck Sea,-1.9,146.58299,260002034,6
Bismarck Sea,-1.95417,147.317,260002034,7
Bismarck Sea,-1.96667,148.071,260002034,8
Bismarck Sea,-2.519,149.964,260002034,9
Bismarck Sea,-2.674,150.384,260002034,10
Bismarck Sea,-2.768,150.711,260002034,11
Bismarck Sea,-2.752,150.991,260002034,12
Bismarck Sea,-3.343,152,260002034,13
Bismarck Sea,-4,152.735,260002034,14
Bismarck Sea,-4.20833,152.67799,260002034,15
Bismarck Sea,-4.32222,152.40401,260002034,16
Bismarck Sea,-5,151.75,260002034,17
Bismarck Sea,-5.65,151,260002034,18
Bismarck Sea,-5.65833,148.308,260002034,19
Bismarck Sea,-5.64583,148.088,260002034,20
Bismarck Sea,-5.82917,148,260002034,21
Bismarck Sea,-6.05833,147.571,260002034,22
Bismarck Sea,-6.05833,145,260002034,23
Bismarck Sea,-2.96667,141.996,260002034,24
Bellingshausen Sea,-69,-67.267,260002033,1
Bellingshausen Sea,-73.2253,-71.5453,260002033,2
Bellingshausen Sea,-74.02079,-81.96855,260002033,3
Bellingshausen Sea,-72.43755,-98.73823,260002033,4
Bellingshausen Sea,-68,-98.7,260002033,5
Bellingshausen Sea,-68,-96,260002033,6
Bellingshausen Sea,-68,-94,260002033,7
Bellingshausen Sea,-68,-92,260002033,8
Bellingshausen Sea,-68,-90,260002033,9
Bellingshausen Sea,-68,-88,260002033,10
Bellingshausen Sea,-68,-86,260002033,11
Bellingshausen Sea,-68,-84,260002033,12
Bellingshausen Sea,-68,-82,260002033,13
Bellingshausen Sea,-68,-78,260002033,14
Bellingshausen Sea,-68,-76,260002033,15
Bellingshausen Sea,-68,-74,260002033,16
Bellingshausen Sea,-68,-72,260002033,17
Bellingshausen Sea,-68.5,-70,260002033,18
Bellingshausen Sea,-69,-67.267,260002033,19
Bass Strait,-37.5042,149.978,260002032,1
Bass Strait,-39.65,148.007,260002032,2
Bass Strait,-39.7833,148.007,260002032,3
Bass Strait,-40.2042,148.33299,260002032,4
Bass Strait,-40.2917,148.33299,260002032,5
Bass Strait,-40.4375,148.483,260002032,6
Bass Strait,-40.9917,148.34399,260002032,7
Bass Strait,-41.2,146.5,260002032,8
Bass Strait,-40.6819,144.683,260002032,9
Bass Strait,-40.1567,143.923,260002032,10
Bass Strait,-39.5833,143.95,260002032,11
Bass Strait,-38.8583,143.50999,260002032,12
Bass Strait,-38.05315,144.368,260002032,13
Bass Strait,-37.79831,144.93253,260002032,14
Bass Strait,-38.92772,146.3915,260002032,15
Bass Strait,-37.8503,147.76102,260002032,16
Bass Strait,-37.5042,149.978,260002032,17
Amundsen Sea,-68,-120,260002031,1
Amundsen Sea,-68,-118,260002031,2
Amundsen Sea,-68,-116,260002031,3
Amundsen Sea,-68,-114,260002031,4
Amundsen Sea,-68,-112,260002031,5
Amundsen Sea,-68,-100,260002031,6
Amundsen Sea,-68,-98.7,260002031,7
Amundsen Sea,-72.43755,-98.73823,260002031,8
Amundsen Sea,-75.1,-98.79,260002031,9
Amundsen Sea,-75.1,-120,260002031,10
Amundsen Sea,-68,-120,260002031,11
Timor Sea,-10.9417,122.85,260002029,1
Timor Sea,-10.4306,123.372,260002029,2
Timor Sea,-10.3583,123.457,260002029,3
Timor Sea,-9,125.119,260002029,4
Timor Sea,-8.39444,127.297,260002029,5
Timor Sea,-8.21667,127.6,260002029,6
Timor Sea,-8.275,128.233,260002029,7
Timor Sea,-8.21667,128.89999,260002029,8
Timor Sea,-8.33889,130.756,260002029,9
Timor Sea,-11.3083,131.767,260002029,10
Timor Sea,-12,133.5,260002029,11
Timor Sea,-14.0528,130,260002029,12
Timor Sea,-14.0528,129.479,260002029,13
Timor Sea,-13.9083,127.342,260002029,14
Timor Sea,-13.7333,126.958,260002029,15
Timor Sea,-10.9417,122.85,260002029,16
Sunda Strait,-6.83889,105.242,260002028,1
Sunda Strait,-5.92778,104.556,260002028,2
Sunda Strait,-5.49159,104.51441,260002028,3
Sunda Strait,-5.43592,105.26862,260002028,4
Sunda Strait,-5.83611,105.775,260002028,5
Sunda Strait,-5.875,106.039,260002028,6
Sunda Strait,-6.4818,105.83343,260002028,7
Sunda Strait,-6.83124,105.52112,260002028,8
Sunda Strait,-6.83889,105.242,260002028,9
Sumba Strait,-8.31667,119.008,260002027,1
Sumba Strait,-8.42778,119.861,260002027,2
Sumba Strait,-8.8625,119.911,260002027,3
Sumba Strait,-9.275,119.942,260002027,4
Sumba Strait,-9.42922,119.80861,260002027,5
Sumba Strait,-9.55,118.933,260002027,6
Sumba Strait,-8.89167,118.5,260002027,7
Sumba Strait,-8.31667,119.008,260002027,8
Sulu Sea,13.4458,120.3,260002026,1
Sulu Sea,12.2083,121.243,260002026,2
Sulu Sea,12.1194,121.353,260002026,3
Sulu Sea,11.9972,121.561,260002026,4
Sulu Sea,11.9,121.883,260002026,5
Sulu Sea,11.1583,123.103,260002026,6
Sulu Sea,11.1333,123.125,260002026,7
Sulu Sea,11.0028,123.193,260002026,8
Sulu Sea,9.04167,123.017,260002026,9
Sulu Sea,8.72639,123.378,260002026,10
Sulu Sea,8.55866,123.44734,260002026,11
Sulu Sea,7.77422,122.40902,260002026,12
Sulu Sea,6.88889,122.108,260002026,13
Sulu Sea,6.75,122.072,260002026,14
Sulu Sea,6.40833,121.957,260002026,15
Sulu Sea,6.06667,121.45,260002026,16
Sulu Sea,6.03333,121.4,260002026,17
Sulu Sea,6.01111,121.392,260002026,18
Sulu Sea,5.88056,121.075,260002026,19
Sulu Sea,5.73333,120.9,260002026,20
Sulu Sea,5.88056,121.075,260002026,21
Sulu Sea,5.5,120.45,260002026,22
Sulu Sea,5.35,120.175,260002026,23
Sulu Sea,5.00833,119.744,260002026,24
Sulu Sea,4.91389,119.453,260002026,25
Sulu Sea,5.14444,119.213,260002026,26
Sulu Sea,6.50633,116.70431,260002026,27
Sulu Sea,7.03333,116.746,260002026,28
Sulu Sea,8.19444,116.983,260002026,29
Sulu Sea,8.24722,117.081,260002026,30
Sulu Sea,8.34167,117.175,260002026,31
Sulu Sea,10,118.94,260002026,32
Sulu Sea,10.54,119.5,260002026,33
Sulu Sea,11.4167,119.5,260002026,34
Sulu Sea,11.4458,119.497,260002026,35
Sulu Sea,12.3111,119.862,260002026,36
Sulu Sea,13.4458,120.3,260002026,37
Sulawesi Sea,4.74167,125.489,260002025,1
Sulawesi Sea,3.74167,125.45,260002025,2
Sulawesi Sea,3.34167,125.611,260002025,3
Sulawesi Sea,3.18333,125.517,260002025,4
Sulawesi Sea,3.08333,125.508,260002025,5
Sulawesi Sea,2.73333,125.383,260002025,6
Sulawesi Sea,2.35,125.417,260002025,7
Sulawesi Sea,2.1,125.367,260002025,8
Sulawesi Sea,1.69167,125.172,260002025,9
Sulawesi Sea,0.75,124.35,260002025,10
Sulawesi Sea,0.647,123.068,260002025,11
Sulawesi Sea,1.33056,120.814,260002025,12
Sulawesi Sea,1.025,118.997,260002025,13
Sulawesi Sea,1.67086,117.59107,260002025,14
Sulawesi Sea,3.60321,116.89932,260002025,15
Sulawesi Sea,5.08534,118.00375,260002025,16
Sulawesi Sea,5.14444,119.213,260002025,17
Sulawesi Sea,4.91389,119.453,260002025,18
Sulawesi Sea,4.75,119.506,260002025,19
Sulawesi Sea,4.74167,125.489,260002025,20
South China Sea,21.8958,120.858,260002024,1
South China Sea,19.9556,122.143,260002024,2
South China Sea,19.9556,122.143,260002024,3
South China Sea,18.5833,122.133,260002024,4
South China Sea,14.1333,120.575,260002024,5
South China Sea,13.85,120.075,260002024,6
South China Sea,13.4458,120.3,260002024,7
South China Sea,12.3111,119.862,260002024,8
South China Sea,11.4458,119.497,260002024,9
South China Sea,11.4167,119.5,260002024,10
South China Sea,10.54,119.5,260002024,11
South China Sea,10,118.94,260002024,12
South China Sea,8.34167,117.175,260002024,13
South China Sea,8.24722,117.081,260002024,14
South China Sea,8.19444,116.983,260002024,15
South China Sea,7.03333,116.746,260002024,16
South China Sea,5.22655,116.05915,260002024,17
South China Sea,1.21922,111.4302,260002024,18
South China Sea,1.29762,110.03336,260002024,19
South China Sea,2.08333,109.639,260002024,20
South China Sea,3.05,108.858,260002024,21
South China Sea,4.01111,108.422,260002024,22
South China Sea,4.79722,108.024,260002024,23
South China Sea,3.33056,105.95,260002024,24
South China Sea,3.09167,105.583,260002024,25
South China Sea,2.74167,105.381,260002024,26
South China Sea,1.23056,104.569,260002024,27
South China Sea,1.33056,104.408,260002024,28
South China Sea,1.36944,104.285,260002024,29
South China Sea,2,103.5,260002024,30
South China Sea,6.21667,102.228,260002024,31
South China Sea,8.61111,104.721,260002024,32
South China Sea,10,105.6,260002024,33
South China Sea,12.3785,108.79945,260002024,34
South China Sea,17.0833,107.121,260002024,35
South China Sea,18.5,108.692,260002024,36
South China Sea,20.0083,109.711,260002024,37
South China Sea,20.225,109.921,260002024,38
South China Sea,21.76888,110.40637,260002024,39
South China Sea,23.5,116.5,260002024,40
South China Sea,23.4306,116.94,260002024,41
South China Sea,23.3931,117.121,260002024,42
South China Sea,23.11,117.32,260002024,43
South China Sea,21.8958,120.858,260002024,44
Singapore Strait,1.16528,103.383,260002023,1
Singapore Strait,1.19028,103.353,260002023,2
Singapore Strait,1.265,103.517,260002023,3
Singapore Strait,1.33333,103.633,260002023,4
Singapore Strait,1.31667,104.05,260002023,5
Singapore Strait,1.34306,104.138,260002023,6
Singapore Strait,1.36944,104.285,260002023,7
Singapore Strait,1.33056,104.408,260002023,8
Singapore Strait,1.23056,104.569,260002023,9
Singapore Strait,1.127,104.569,260002023,10
Singapore Strait,1.176,104.328,260002023,11
Singapore Strait,1.10972,103.792,260002023,12
Singapore Strait,1.16528,103.383,260002023,13
Seram Sea,-5.27778,133.14999,260002022,1
Seram Sea,-4.81,131.744,260002022,2
Seram Sea,-4.5,131.66701,260002022,3
Seram Sea,-4.11667,131.317,260002022,4
Seram Sea,-3.86667,130.842,260002022,5
Seram Sea,-3.2,130,260002022,6
Seram Sea,-2.86111,128.16099,260002022,7
Seram Sea,-3.05278,126.708,260002022,8
Seram Sea,-3.11389,126.092,260002022,9
Seram Sea,-2.47222,126.044,260002022,10
Seram Sea,-1.97222,125.917,260002022,11
Seram Sea,-1.93889,125.919,260002022,12
Seram Sea,-1.82222,126.486,260002022,13
Seram Sea,-1.62222,127.389,260002022,14
Seram Sea,-1.68611,128.153,260002022,15
Seram Sea,-1.63333,128.33299,260002022,16
Seram Sea,-1.50833,128.633,260002022,17
Seram Sea,-1.39167,128.91701,260002022,18
Seram Sea,-1.18333,129.83299,260002022,19
Seram Sea,-1.43333,130.931,260002022,20
Seram Sea,-1.43333,132.3,260002022,21
Seram Sea,-2.08333,132.02499,260002022,22
Seram Sea,-2.775,131.933,260002022,23
Seram Sea,-3,132.8,260002022,24
Seram Sea,-3.85833,133.442,260002022,25
Seram Sea,-4.31111,133.625,260002022,26
Seram Sea,-5.27778,133.14999,260002022,27
Sawu Sea,-9.275,119.942,260002021,1
Sawu Sea,-8.8625,119.911,260002021,2
Sawu Sea,-8.73,121.536,260002021,3
Sawu Sea,-8.49,122.941,260002021,4
Sawu Sea,-8.31667,123.019,260002021,5
Sawu Sea,-8.31667,123.028,260002021,6
Sawu Sea,-8.31944,125.133,260002021,7
Sawu Sea,-8.64028,125.119,260002021,8
Sawu Sea,-9,125.119,260002021,9
Sawu Sea,-10.3583,123.457,260002021,10
Sawu Sea,-10.4306,123.372,260002021,11
Sawu Sea,-10.9417,122.85,260002021,12
Sawu Sea,-10.825,121.275,260002021,13
Sawu Sea,-10.3153,120.458,260002021,14
Sawu Sea,-9.55,119.942,260002021,15
Sawu Sea,-9.275,119.942,260002021,16
Natuna Sea,2.08333,109.639,260002020,1
Natuna Sea,-0.98435,110.15539,260002020,2
Natuna Sea,-2.99722,110.306,260002020,3
Natuna Sea,-2.75,108.275,260002020,4
Natuna Sea,-2.6,107.642,260002020,5
Natuna Sea,-2.57222,106.842,260002020,6
Natuna Sea,-3.08333,106.492,260002020,7
Natuna Sea,-3.225,106.083,260002020,8
Natuna Sea,-2.72273,104.57452,260002020,9
Natuna Sea,0.15207,102.54709,260002020,10
Natuna Sea,1.09444,102.983,260002020,11
Natuna Sea,1.16528,103.383,260002020,12
Natuna Sea,1.10972,103.792,260002020,13
Natuna Sea,1.176,104.328,260002020,14
Natuna Sea,1.127,104.569,260002020,15
Natuna Sea,1.23056,104.569,260002020,16
Natuna Sea,2.74167,105.381,260002020,17
Natuna Sea,3.09167,105.583,260002020,18
Natuna Sea,3.33056,105.95,260002020,19
Natuna Sea,4.79722,108.024,260002020,20
Natuna Sea,4.01111,108.422,260002020,21
Natuna Sea,3.05,108.858,260002020,22
Natuna Sea,2.08333,109.639,260002020,23
Mindanao Sea,7.923,123.93444,260002019,1
Mindanao Sea,5.55833,125.329,260002019,2
Mindanao Sea,5.39167,125.329,260002019,3
Mindanao Sea,4.74167,125.489,260002019,4
Mindanao Sea,4.75,119.506,260002019,5
Mindanao Sea,4.91389,119.453,260002019,6
Mindanao Sea,5.00833,119.744,260002019,7
Mindanao Sea,5.35,120.175,260002019,8
Mindanao Sea,5.5,120.45,260002019,9
Mindanao Sea,5.88056,121.075,260002019,10
Mindanao Sea,5.73333,120.9,260002019,11
Mindanao Sea,5.88056,121.075,260002019,12
Mindanao Sea,6.01111,121.392,260002019,13
Mindanao Sea,6.03333,121.4,260002019,14
Mindanao Sea,6.06667,121.45,260002019,15
Mindanao Sea,6.40833,121.957,260002019,16
Mindanao Sea,6.75,122.072,260002019,17
Mindanao Sea,6.88889,122.108,260002019,18
Mindanao Sea,7.77422,122.40902,260002019,19
Mindanao Sea,7.923,123.93444,260002019,20
Maluku Sea,3.34167,125.611,260002018,1
Maluku Sea,3.73056,126.825,260002018,2
Maluku Sea,4.48611,126.858,260002018,3
Maluku Sea,2.64167,128.558,260002018,4
Maluku Sea,2.27778,128.192,260002018,5
Maluku Sea,2.19444,128.06399,260002018,6
Maluku Sea,1.84,127.764,260002018,7
Maluku Sea,1,127.546,260002018,8
Maluku Sea,0.6,127.818,260002018,9
Maluku Sea,-0.226,127.818,260002018,10
Maluku Sea,-0.83889,128.222,260002018,11
Maluku Sea,-1.175,127.544,260002018,12
Maluku Sea,-1.29167,127.667,260002018,13
Maluku Sea,-1.33333,127.667,260002018,14
Maluku Sea,-1.62222,127.389,260002018,15
Maluku Sea,-1.82222,126.486,260002018,16
Maluku Sea,-1.93889,125.919,260002018,17
Maluku Sea,-1.65833,124.4,260002018,18
Maluku Sea,-1.71389,123.6,260002018,19
Maluku Sea,-1.16667,123.292,260002018,20
Maluku Sea,-1.05278,123.314,260002018,21
Maluku Sea,-0.65139,123.408,260002018,22
Maluku Sea,0.29167,123.342,260002018,23
Maluku Sea,0.75,124.35,260002018,24
Maluku Sea,1.69167,125.172,260002018,25
Maluku Sea,2.1,125.367,260002018,26
Maluku Sea,2.35,125.417,260002018,27
Maluku Sea,2.73333,125.383,260002018,28
Maluku Sea,3.08333,125.508,260002018,29
Maluku Sea,3.18333,125.517,260002018,30
Maluku Sea,3.34167,125.611,260002018,31
Makasar Strait,1.025,118.997,260002017,1
Makasar Strait,1.33056,120.814,260002017,2
Makasar Strait,0.96,120.85,260002017,3
Makasar Strait,0.4,120,260002017,4
Makasar Strait,-4,120,260002017,5
Makasar Strait,-5.6125,119.46,260002017,6
Makasar Strait,-5.53889,119.267,260002017,7
Makasar Strait,-4.08611,116.086,260002017,8
Makasar Strait,-3.64167,115.994,260002017,9
Makasar Strait,-1.74791,116.09922,260002017,10
Makasar Strait,1.18452,117.7545,260002017,11
Makasar Strait,1.025,118.997,260002017,12
Joseph Bonaparte Gulf,-13.9083,127.342,260002016,1
Joseph Bonaparte Gulf,-14.0528,129.479,260002016,2
Joseph Bonaparte Gulf,-14.5013,129.83888,260002016,3
Joseph Bonaparte Gulf,-15.1643,129.80717,260002016,4
Joseph Bonaparte Gulf,-15.56954,128.09201,260002016,5
Joseph Bonaparte Gulf,-13.9083,127.342,260002016,6
Jawa Sea,-5.875,106.039,260002015,1
Jawa Sea,-5.83611,105.775,260002015,2
Jawa Sea,-3.225,105.775,260002015,3
Jawa Sea,-3.225,106.083,260002015,4
Jawa Sea,-3.08333,106.492,260002015,5
Jawa Sea,-2.57222,106.842,260002015,6
Jawa Sea,-2.6,107.642,260002015,7
Jawa Sea,-2.75,108.275,260002015,8
Jawa Sea,-2.99722,110.306,260002015,9
Jawa Sea,-2.39536,111.96798,260002015,10
Jawa Sea,-3.64167,115.994,260002015,11
Jawa Sea,-4.08611,116.086,260002015,12
Jawa Sea,-5.53889,119.267,260002015,13
Jawa Sea,-5.6125,119.46,260002015,14
Jawa Sea,-6.55833,118.808,260002015,15
Jawa Sea,-7.5,117.183,260002015,16
Jawa Sea,-7.18333,115.892,260002015,17
Jawa Sea,-7.15,115.733,260002015,18
Jawa Sea,-7.01111,115.283,260002015,19
Jawa Sea,-7.83333,114.467,260002015,20
Jawa Sea,-8,112,260002015,21
Jawa Sea,-5.875,106.039,260002015,22
Halmahera Sea,2.5,128.67799,260002014,1
Halmahera Sea,-0.02222,131.04401,260002014,2
Halmahera Sea,-0.825,131.22501,260002014,3
Halmahera Sea,-1.25,131.339,260002014,4
Halmahera Sea,-1.43333,130.931,260002014,5
Halmahera Sea,-1.18333,129.83299,260002014,6
Halmahera Sea,-1.39167,128.91701,260002014,7
Halmahera Sea,-1.50833,128.633,260002014,8
Halmahera Sea,-1.63333,128.33299,260002014,9
Halmahera Sea,-1.68611,128.153,260002014,10
Halmahera Sea,-1.33333,127.667,260002014,11
Halmahera Sea,-1.29167,127.667,260002014,12
Halmahera Sea,-1.175,127.544,260002014,13
Halmahera Sea,-0.83889,128.222,260002014,14
Halmahera Sea,-0.226,127.818,260002014,15
Halmahera Sea,0.6,127.818,260002014,16
Halmahera Sea,1,127.546,260002014,17
Halmahera Sea,1.84,127.764,260002014,18
Halmahera Sea,2.19444,128.06399,260002014,19
Halmahera Sea,2.27778,128.192,260002014,20
Halmahera Sea,2.5,128.67799,260002014,21
Gulf of Tonkin,21.86132,109.98751,260002013,1
Gulf of Tonkin,20.225,109.921,260002013,2
Gulf of Tonkin,20.0083,109.711,260002013,3
Gulf of Tonkin,18.5,108.692,260002013,4
Gulf of Tonkin,17.0833,107.121,260002013,5
Gulf of Tonkin,18.53118,105.41528,260002013,6
Gulf of Tonkin,20.78821,105.97018,260002013,7
Gulf of Tonkin,21.68168,107.65718,260002013,8
Gulf of Tonkin,21.86132,109.98751,260002013,9
Gulf of Tomini,0.29167,123.342,260002012,1
Gulf of Tomini,-0.65139,123.408,260002012,2
Gulf of Tomini,-0.7,123.267,260002012,3
Gulf of Tomini,-1.5,121.25,260002012,4
Gulf of Tomini,-1.5,120,260002012,5
Gulf of Tomini,0.273,120,260002012,6
Gulf of Tomini,0.647,120.575,260002012,7
Gulf of Tomini,0.647,123.068,260002012,8
Gulf of Tomini,0.29167,123.342,260002012,9
Gulf of Thailand,10,105.6,260002011,1
Gulf of Thailand,8.61111,104.721,260002011,2
Gulf of Thailand,6.21667,102.228,260002011,3
Gulf of Thailand,6.14913,101.90143,260002011,4
Gulf of Thailand,6.9314,100.61353,260002011,5
Gulf of Thailand,9.18917,99.12983,260002011,6
Gulf of Thailand,9.94285,98.98853,260002011,7
Gulf of Thailand,13.35359,99.82625,260002011,8
Gulf of Thailand,13.83306,100.21157,260002011,9
Gulf of Thailand,13.52212,101.08434,260002011,10
Gulf of Thailand,10,105.6,260002011,11
Gulf of Carpentaria,-10.9833,142.12601,260002010,1
Gulf of Carpentaria,-12.60758,142.22991,260002010,2
Gulf of Carpentaria,-17.74808,141.50414,260002010,3
Gulf of Carpentaria,-17.82151,139.33112,260002010,4
Gulf of Carpentaria,-14.96774,134.84216,260002010,5
Gulf of Carpentaria,-13.22303,135.64268,260002010,6
Gulf of Carpentaria,-12.3472,136.97501,260002010,7
Gulf of Carpentaria,-10.9833,142.12601,260002010,8
Gulf of Bone,-4,121.9,260002009,1
Gulf of Bone,-5.05556,121.9,260002009,2
Gulf of Bone,-5.62222,120.478,260002009,3
Gulf of Bone,-5.3,120,260002009,4
Gulf of Bone,-2.5,120,260002009,5
Gulf of Bone,-2.5,121,260002009,6
Gulf of Bone,-4,121.9,260002009,7
Gulf of Berau,-2.775,131.933,260002008,1
Gulf of Berau,-2.08333,132.02499,260002008,2
Gulf of Berau,-2.16136,133.01924,260002008,3
Gulf of Berau,-2,134,260002008,4
Gulf of Berau,-2.70977,133.99344,260002008,5
Gulf of Berau,-2.83592,132.79767,260002008,6
Gulf of Berau,-2.775,131.933,260002008,7
Flores Sea,-5.62222,120.478,260002007,1
Flores Sea,-5.76944,120.5,260002007,2
Flores Sea,-6.5,120.492,260002007,3
Flores Sea,-6.744,120.442,260002007,4
Flores Sea,-7.03,120.634,260002007,5
Flores Sea,-7.164,120.769,260002007,6
Flores Sea,-7.316,120.826,260002007,7
Flores Sea,-7.3735,121.134,260002007,8
Flores Sea,-7.38333,121.8,260002007,9
Flores Sea,-8.06389,122.867,260002007,10
Flores Sea,-8.49,122.941,260002007,11
Flores Sea,-8.73,121.536,260002007,12
Flores Sea,-8.42778,119.861,260002007,13
Flores Sea,-8.31667,119.008,260002007,14
Flores Sea,-8.89167,118.5,260002007,15
Flores Sea,-8.36667,117.158,260002007,16
Flores Sea,-7.5,117.183,260002007,17
Flores Sea,-6.55833,118.808,260002007,18
Flores Sea,-5.6125,119.46,260002007,19
Flores Sea,-5.62222,120.478,260002007,20
Banda Sea,-8.06389,122.867,260002006,1
Banda Sea,-7.38333,121.8,260002006,2
Banda Sea,-7.3735,121.134,260002006,3
Banda Sea,-7.316,120.826,260002006,4
Banda Sea,-7.164,120.769,260002006,5
Banda Sea,-7.03,120.634,260002006,6
Banda Sea,-6.744,120.442,260002006,7
Banda Sea,-6.5,120.492,260002006,8
Banda Sea,-5.76944,120.5,260002006,9
Banda Sea,-5.62222,120.478,260002006,10
Banda Sea,-5.05556,121.9,260002006,11
Banda Sea,-4,121.9,260002006,12
Banda Sea,-1.61,121,260002006,13
Banda Sea,-1.5,121.25,260002006,14
Banda Sea,-0.7,123.267,260002006,15
Banda Sea,-1.05278,123.314,260002006,16
Banda Sea,-1.16667,123.292,260002006,17
Banda Sea,-1.71389,123.6,260002006,18
Banda Sea,-1.65833,124.4,260002006,19
Banda Sea,-1.93889,125.919,260002006,20
Banda Sea,-1.97222,125.917,260002006,21
Banda Sea,-2.47222,126.044,260002006,22
Banda Sea,-3.11389,126.092,260002006,23
Banda Sea,-3.05278,126.708,260002006,24
Banda Sea,-2.86111,128.16099,260002006,25
Banda Sea,-3.2,130,260002006,26
